title,artist,lyrics
Everything Will Be Alright,The Killers,"Doo-doo, doo-doo
I believe in you and me

I'm coming to find you if it takes me all night
Wrong until you make it right
And I won't forget you
At least I'll try and run, and run tonight

Everything will be alright
Everything will be alright
Everything will be alright
Everything will be alright
Everything will be alright
Everything will be alright
Alright, alright, alright, alright

I wasn't shopping for a doll
To say the least, I thought I'd seen them all
But then you took me by surprise
I'm dreaming 'bout those dreamy eyes
I never knew, I never knew
So take your suitcase, 'cause I don't mind
And baby doll, I meant it every time
You don't need to compromise
I'm dreaming 'bout those dreamy eyes
I never knew, I never knew but it's alright, alright

Everything will be alright
Everything will be alright
Everything will be alright
Everything will be alright
Everything will be alright
Everything will be alright
Everything will be alright
Everything will be alright
Everything will be alright
Everything will be alright
Everything will be alright
Everything will be alright
It will be alright"
Sam's Town,The Killers,"Nobody ever had a dream round here
But I don't really mind that it's starting to get to me
Nobody ever pulls the seams round here
But I don't really mind that it's starting to get to me

I've got this energy beneath my feet
Like something underground's going to come up and carry me
I've got this sentimental heart that beats
But I don't really mind that it's starting to get to me now

Why do you waste my time?
Is the answer to the question on your mind
And I'm sick of all my judges
So scared of what they'll find
But I know that I can make it
As long as somebody takes me home every now and then

Well have you ever seen the lights?
Have you ever seen the lights?

I took a shuttle on a shock wave ride
Where people on the pen pull the trigger for accolades
I took a bullet and I looked inside
Running through my veins an American masquerade

I still remember grandma Dixie's wake
I've never really known anybody to die before
Red, white and blue upon a birthday cake
My brother, he was born on the fourth of the July and that's all

So why do you waste my time?
Is the answer to the question on your mind
And I'm sick of all my judges
So scared of what they'll find
But I know that I can make it
As long as somebody takes me home every now and then

Every now and then
Every now and then

You know I see London, I see Sam's Town
Holds my hand and lets my hair down
Rolls that world right off my shoulder
I see London, I see Sam's Town now"
When You Were Young,The Killers,"You sit there in your heartache
Waiting on some beautiful boy to
To save you from your old ways
You play forgiveness
Watch it now
Here he comes

He doesn't look a thing like Jesus
But he talks like a gentleman
Like you imagined
When you were young

Can we climb this mountain
I don't know
Higher now than ever before
I know we can make it if we take it slow
Let's take it easy
Easy now
Watch it go

We're burning down the highway skyline
On the back of a hurricane
That started turning
When you were young
When you were young

And sometimes you close your eyes
And see the place where you used to live
When you were young

They say the devil's water
It ain't so sweet
You don't have to drink right now
But you can dip your feet
Every once in a little while

You sit there in your heartache
Waiting on some beautiful boy to
To save you from your old ways
You play forgiveness
Watch it now
Here he comes

He doesn't look a thing like Jesus
But he talks like a gentleman
Like you imagined
When you were young
(Talks like a gentleman)
(Like you imagined)
When you were young

I said he doesn't look a thing like Jesus
He doesn't look a thing like Jesus
But more than you'll ever know"
Bling (Confession Of A King),The Killers,"When I offer you survival
You say it's hard enough to live
It's not so bad, it's not so bad
How do you know that you're right?

I awoke on the roadside
In the land of the free ride
And I can't pull it any longer
The sun is beating down my neck
So I ran with the devil
Left a trail of excuses
Like a stone on the water
The elements decide my fate
Watch it go

When I offer you survival
You say it's hard enough to live
Don't tell me that it's over, stand up
Poor and tired, but more than this
How do you know that you're right?
If you're not nervous anymore
It's not so bad, it's not so bad

I feel my vision slipping in and out of focus
But I'm pushing on for that horizon
I'm pushing on
Now I've got that blowing wind against my face
So you sling rocks at the riptide
Am I wrong or am I right?
I hit the bottom with a ""huh!"", quite strange
I get my glory in the desert rain
Watch it go (When I offer you survival)

When I offer you survival
You say it's hard enough to live
And I'll tell you when it's over, shut up
Poor and tired, but more than this
How do you know that you're right?
If you're not nervous anymore
It's not so bad, it's not so bad

Higher and higher
We're gonna take it down to the wire
We're gonna make it out of the fire
Higher and higher, higher and higher
We're gonna take it down to the wire
We're gonna make it out of the fire
Higher and higher, higher and higher
We're gonna take it down to the wire
We're gonna make it out, whoa-oh-oh
Higher and higher

It ain't hard to hold
When it shines like gold
You'll remember me"
For Reasons Unknown,The Killers,"I pack my case. I check my face
I look a little bit older
I look a little bit colder
With one deep breath, and one big step, I move a little bit closer
I move a little bit closer
For reasons unknown

I caught my stride
I flew and flied
I know if destiny's kind, I've got the rest of my mind
But my heart, it don't beat, it don't beat the way it used to
And my eyes, they don't see you no more
And my lips, they don't kiss, they don't kiss the way they used to, and my eyes don't recognize you no more

For reasons unknown; for reasons unknown

There was an open chair
We sat down in the open chair
I said if destiny's kind, I've got the rest of my mind
But my heart, it don't beat, it don't beat the way it used to
And my eyes, they don't see you no more
And my lips, they don't kiss, they don't kiss the way they used to, and my eyes don't recognize you at all

For reasons unknown; for reasons unknown

I said my heart, it don't beat, it don't beat the way it used to and my eyes don't recognize you no more
And my lips, they don't kiss, they don't kiss the way they used to, and my eyes don't recognize you no more

For reasons unknown; for reasons unknown; for reasons unknown; for reasons unknown"
Read My Mind,The Killers,"On the corner of Main Street
Just trying to keep it in line
You say you wanna move on and
You say I'm falling behind
Can you read my mind?
Can you read my mind?

I never really gave up on
Breaking out of this two-star town
I got the green light, I got a little fight
I'm gonna turn this thing around
Can you read my mind? (Oooh)
Can you read my mind? (Oooh)

The good old days, the honest man
The restless heart, the Promised Land
A subtle kiss that no one sees
A broken wrist and a big trapeze
Oh, well, I don't mind if you don't mind
'Cause I don't shine if you don't shine
Before you go, can you read my mind?

It's funny how you just break down
Waiting on some sign
I pull up to the front of your driveway
With magic soaking my spine
Can you read my mind? (Oooh)
Can you read my mind? (Oooh)

The teenage queen, the loaded gun
The drop dead dream, the Chosen One
A southern drawl, a world unseen
A city wall and a trampoline
Oh, well, I don't mind, if you don't mind
'Cause I don't shine if you don't shine
Before you jump, tell me what you find
When you read my mind

Slipping in my faith until I fall
He never returned that call
Woman, open the door, don't let it sting
I wanna breathe that fire again
She said, ""I don't mind, if you don't mind (I don't mind, if you don't mind)
'Cause I don't shine if you don't shine"" (I don't shine if you don't shine)
Put your back on me, put your back on me (I don't mind, if you don't mind)
Oh, put your back on me
Oooh

The stars are blazing like rebel diamonds cut out of the sun
Can you read my mind? (Oooh oooh)"
Uncle Jonny,The Killers,"When everybody else refrained
My uncle Jonny did cocaine
He's convinced himself right in his brain
That it helps to take away the pain
Hey, Jonny
Hey what you say Jonny

I wanna go out tonight
Come a little closer to the city lights
Levitation ain't your only friend
Levitation coming back again
You feel a burning in your body's core
It's a yearning that you can't ignore
Now I wanna go out tonight
S-s-s-Superman and hold on tight
He's convinced himself right in his brain
That it helps to take away the pain
Hey, Jonny
Hey what you say Jonny

My appetite ain't got no heart
I said my appetite ain't got no heart
Shocking people when you feel that pull
Shock 'em, drop 'em when you know it's full
I feel a burning in my body's core
It's a yearning that you can't ignore
Now I gotta go out tonight
Hey Jonny I got faith in you man, I mean it, it's gonna be all right
He's convinced himself right in his brain
That it helps to take away the pain
Hey, Jonny
Hey what you say Jonny

Tell us what's going on
Feel's like everything's wrong
Hey what you say Jonny
If the future is real
Jonny, you've got to heal
Hey what you say Jonny

When everybody else refrained
My uncle Jonny did cocaine"
Bones,The Killers,"Come with me

We took a back road
We're gonna look at the stars
We took a backroad in my car
Down to the ocean
It's only water and sand
And in the ocean we'll hold hands

But I don't really like you, apologetically dressed in the best, put on a heartbeat glide
Without an answer, the thunder speaks for the sky, and on the cold wet dirt I cry
And on the cold wet dirt I cry

Don't you wanna come with me? Don't you wanna feel my bones
On your bones?
It's only natural

A cinematic vision ensued
Like the holiest dream
There's someone calling
An angel whispers my name
But the message relayed is the same:
""Wait till tomorrow, you'll be fine.""
But it's gone to the dogs in my mind
I always hear them when the dead of night
Comes calling to save me from this fight
But they can never wrong this right

Don't you wanna come with me? Don't you wanna feel my bones
On your bones?
It's only natural
Don't you wanna swim with me? Don't you wanna feel my skin
On your skin?
It's only natural

(Never had a lover)
I never had a lover
(Never had soul)
I never had soul
(Never had a good time)
And I never had a good time
(Never got cold)
I never got gold

Don't you wanna come with me? Don't you wanna feel my bones
On your bones?
It's only natural
Don't you wanna swim with me? Don't you wanna feel my skin
On your skin?
It's only natural
Don't you wanna come with me? Don't you wanna feel my bones
On your bones?
It's only natural
Come and take a swim with me. Don't you wanna feel my skin
On your skin?
It's only natural"
My List,The Killers,"Let me wrap myself around you
Let you show me how I see
And when you come back in from nowhere
Do you ever think of me?
Your heart is not able
Let me show you how much I care
I need those eyes to tide me over
I'll take your picture when I go
It gives me strength and gives me patience
But I'll never let you know
I got nothing on you baby
But I always said I try
Let me show you how much I care
'Cause sometimes it gets hard
And don't she know

Don't give the ghost up just clench your fist
You should have known by now you were on my list
Don't give the ghost up just clench your fist
You should have known by now you were on my list
Don't give the ghost up just clench your fist
You should have known by now you were wrong (on my list)
When your heart is not able
And your prayers they're not fables
Let me show you (let me show you)
Let me show you (let me show you)
Let me show you how much I care oh"
This River Is Wild,The Killers,"Leaves are fallin' down on the beautiful ground
I heard a story from the man in red
He said, ""The leaves are fallin' down, such a beautiful sound
Son, I think you'd better go ahead""
But you always hold your head up high
'Cause it's a long, long, long way down
This town was meant for passing through
Boy, it ain't nothin' new
Now go and show 'em that the world stayed round
But it's a long, long, long way down

You better run for the hills before they burn
Listen to the sound of the world, don't watch it turn
I just want to show you what I know
And catch you when the current lets you go

Or should I just get along with myself?
I never did get along with everybody else
I've been trying hard to do what's right
But you know I could stay here all night
And watch the clouds fall from the sky
Well, this river is wild
This river is wild

Run for the hills before they burn
Listen to the sound of the world, don't watch it turn
(I shake a little) Sometimes I'm nervous when I talk
(I shake a little) Sometimes I hate the line I walk
I just wanna to show you what I know
And catch you when the current lets you go

Or should I just get along with myself?
I never did get along with everybody else
I've been trying hard to do what's right
But you know I could stay here all night
And watch the clouds fall from the sky
Because this river is wild, godspeed ya, boy
This river is wild

Now Adam's taking bombs and he's stuck on his mom
Because that bitch keeps trying to make him pray
He's with the hippie in the park, combing over the dark
Just trying to get some of that little-girl play

You better run for the hills before they burn
Listen to the sound of the world, don't watch it turn
I just want to show you what I know
And catch you when the current lets you go

Or should I get along with myself?
I never did get along with everybody else
I've been trying hard to do what's right
But you know I could stay here all night
And watch the clouds fall from the sky
The pain is hell in me tonight
Because this river is wild, godspeed ya, boy
This river is wild
This river is wild, godspeed ya, boy
This river is wild

Now the cars are everywhere, raisin' dust at the fairground
I don't think I ever seen so many headlights
But there's something pulling me
The circus and the crew, well, they're just passing through
Making sure the merry still goes 'round
But it's a long, long, long way down"
Why Do I Keep Counting?,The Killers,"There's a plane and I am flying
There's a mountain waiting for me
Oh these years have been so trying
I don't know if I can use them
Am I strong enough
To be the one?
(Am I strong enough to be the one?)
Will I live to have some children?
(Children)

Help me get down
I can make it
Help me get down
Help me get down
I can make it
Help me get down

If I only knew the answer
I wouldn't be bothering you, father

Help me get down
I can make it
Help me get down
Help me get down
I can make it
Help me get down

If I only knew the answer
And if all our days are numbered
Then why do I keep counting?

My sugar sweet is so attainable
This behavior so unexplainable
The days just slip and slide
Like they always did
The trouble is my head
Won't let me forget
I took one last good look around
So many unusual sounds
I gotta get my feet on the ground

Help me get down
I can make it (oh)
Help me get down
I can make it, help me get down
Help me get down
I can make it, help me get down
If I only knew the answer
I wouldn't be bothering you, father
Help me get down
I can make it, help me get down
Help me get down
I can make it, help me get down
If I only knew the answer
And if all our days are numbered
Would you help me get down? (I can make it, help me get down)
(Help me get down)
(I can make it, help me get down)

If I only knew the answer
If I change my way of living
And if I pave my streets with good times
Will the mountain keep on giving?

And if all of our days are numbered
Then why do I keep counting?"
Losing Touch,The Killers,"Console me in my darkest hour
Convince me that the truth is always gray
Caress me in your velvet chair
Conceal me from the ghost you cast away

I ain't in no hurry
You go run and tell your friends I'm losing touch
Fill their heads with rumors of impending doom
It must be true

Console me in my darkest hour
And tell me that you always hear my cries
I wonder what you've got conspired
I'm sure it dawns a consolation prize

I ain't in no hurry
You go run and tell your friends I'm losing touch
Fill the night with stories, the legend grows
Of how you got lost
But you made your way back home
You sold your soul
Like a roamin' vagabond, yeah

I heard you found a wishing well in the city
Console me in my darkest hour
Then you throw me down
I ain't in no hurry
You go run and tell your friends I'm losing touch
Fill your crown with rumors
Impending doom, it must be true

But you made your way back home
You sold your soul like a roamin' vagabond
And about how you got lost
But you made your way back home
You went and sold your soul
An allegiance dead and gone
I'm losing touch"
Human,The Killers,"I did my best to notice
When the call came down the line
Up to the platform of surrender
I was brought, but I was kind
And sometimes I get nervous
When I see an open door
Close your eyes, clear your heart

Cut the cord

Are we human
Or are we dancer?
My sign is vital
My hands are cold
And I'm on my knees
Looking for the answer
Are we human
Or are we dancer?

Pay my respects to grace and virtue
Send my condolences to good
Give my regards to soul and romance
They always did the best they could
And so long to devotion
You taught me everything I know
Wave goodbye, wish me well

You've got to let me go

Are we human
Or are we dancer?
My sign is vital
My hands are cold
And I'm on my knees
Looking for the answer
Are we human
Or are we dancer?

Will your system be alright
When you dream of home tonight?
There is no message we're receiving
Let me know, is your heart still beating?

Are we human
Or are we dancer?
My sign is vital
My hands are cold
And I'm on my knees
Looking for the answer

You've got to let me know

Are we human
Or are we dancer?
My sign is vital
My hands are cold
And I'm on my knees
Looking for the answer
Are we human
Or are we dancer?

Are we human
Or are we dancer?
Are we human
Or are we dancer?"
Spaceman,The Killers,"It started with a low light
Next thing I knew, they ripped me from my bed
And then they took my blood type
It left a strange impression in my head
You know that I was hoping
That I could leave this star-crossed world behind
But when they cut me open
I guess I changed my mind

And you know, I might
Have just flown too far from the floor this time
'Cause they're calling me by my name
And they're zipping white light beams
Disregarding bombs and satellites
That was the turning point
That was one lonely night

The storm maker says, ""It ain't so bad""
The dream maker's gonna make you mad
The spaceman says, ""Everybody, look down
It's all in your mind""

Well, now I'm back at home, and
I'm looking forward to this life I live
You know it's gonna haunt me
So hesitation to this life I give
You think you might cross over
You're caught between the devil and the deep blue sea
You'd better look it over
Before you make that leap

And you know I'm fine
But I hear those voices at night sometimes
They justify my claim
And the public don't dwell on my transmission
'Cause it wasn't televised
But it was the turning point
Oh, what a lonely night

The storm maker says, ""It ain't so bad""
The dream maker's gonna make you mad
The spaceman says, ""Everybody, look down
It's all in your mind""
The storm maker says, ""It ain't so bad""
The dream maker's gonna make you mad
The spaceman says, ""Everybody, look down
It's all in your mind""

My global position systems are vocally addressed
They say the Nile used to run from east to west
They say the Nile used to run
From east to west

I'm fine
But I hear those voices at night
Sometimes

The storm maker says, ""It ain't so bad""
The dream maker's gonna make you mad
The spaceman says, ""Everybody, look down
It's all in your mind""
The storm maker says, ""It ain't so bad""
The dream maker's gonna make you mad
The spaceman says, ""Everybody, look down
It's all in your mind""

It's all in my mind
It's all in my mind"
Joy Ride,The Killers,"It's getting close to sundown
Over the Sierra
Stranded on the heat wave
Burning with desire
She was on the sidewalk
Looking for a nightlife
Talked about the real thing
And drove into the fire
Headlights on the highway
The desert wind is howling
Rattlesnakes and romance
Are spilling with the rain
Candy apple red dress
Bleeding when she kissed me
Heaven in a rag top
Takes away my-my pain

When your chips are down
When your highs are low
Joy ride
(Joy ride)
Move across the night like a separate wind
(Joy ride)

Pulled up to a motel
Vacancy was buzzing
Pink and dirty neon
Settled on the hood
Wrapped her arms around me
Come a little closer
Stumbled in the twilight
And fell onto the floor of the Mona Lisa
Dreaming of the free world
Lipstick on the nightstand
And demons at the door

When your chips are down
When your highs are low
Joy ride
(Joy ride)
Move across the night like a separate wind
(Joy ride)
When your hopes and dreams
Lose the will to go
Joy ride
(Joy ride)
Reaching for the light
More than we can win
(Joy ride)

There's something in the distance
A glorious existence
A simple celebration
A place you never been before
(Why don't you kiss me?)
Tell me that you want it more

Reaching for the light
More than we can win
When your chips are down
(When your chips are down)
When your highs are low
Joy ride
(Joy ride)
All your hopes and dreams
All you need to know
Joy ride
(Joy ride)"
A Dustland Fairytale,The Killers,"A Dustland fairytale beginning
With just another white trash county kiss
In '61, long brown hair and foolish eyes
He looked just like you'd want him to
Some kind of slick chrome American prince
A blue jean serenade
Moon River what'd you do to me
I don't believe you

Saw Cinderella in a party dress but
She was looking for a night gown
I saw the devil wrapping up his hands
He's getting ready for the showdown
I saw the minute that I turned away
I got my money on a pawn tonight

The change came in disguise of revelation, set his soul on fire
She said she'd always knew he'd come around
And the decades disappear like sinking ships, but we persevere
God gives us hope, but we still fear what we don't know
The mind is poison
Castles in the sky sit stranded vandalized
We're drawbridges closing

Saw Cinderella in a party dress
But she was looking for a nightgown
I saw the devil wrapping up his hands
He's getting ready for the showdown
I saw the ending when they turned the page
I threw my money and I ran away
Straight to the valley of the great divide

Out where the dreams all hide
Out where the wind don't blow
Out here the good girls die
And the sky won't snow
Out here the bird don't sing
Out here the field don't grow
Out here the bell don't ring
Out here the bell don't ring
Out here the good girls die

Now Cinderella don't you go to sleep
It's such a bitter form of refuge
Why don't you know the kingdom's under siege
And everybody needs you
Is there still magic in the midnight sun
Or did you leave it back in sixty-one
In the cadence of a young man's eyes
Out where the dreams all hide"
This Is Your Life,The Killers,"Candy talks to strangers
Thinks her life's in danger
No one gives a damn about her hair
It's lonely down on Track Street
She used to go by Jackie
The cops, they'll steal your dreams and they'll kill your prayers
Take a number where the blood just barely dried

Wait for something better
No one behind you
Watching your shadows
This feeling won't go

Crooked wheels keep turning
Children, are you learning
Acclimatized, but don't you lose the plot
A history of blisters
Your brothers and your sisters
Somewhere in the pages we forgot

Take a number Jackie
Where the blood just barely dried
You know I'm on your side

Wait for something better
No one behind you
Watching your shadows
You got to be stronger than the story
Don't let it blind you
Rivers are shallow
This feeling won't go

Your sky is full of dreams
But you don't know how to fly
I don't have a simple answer
But I know that I could answer
Something better

This feeling won't go
Wait for it
Wait for it
Wait for it
Wait for it"
I Can't Stay,The Killers,"The emotion it was electric
And the stars, they all aligned
I knew I had to make my decision
But I never made the time
No, I never made the time

In the dark, for a while now
I can't stay, so far
I can't stay much longer
Riding my decision home

Exoneration lost his eraser
But my forgiver found the sun
And there are twisted days that I take comfort
Because I'm not the only one
No, I'm not the only one

In the dark, for a while now
I can't stay, very far
I can't stay much longer
Riding my decision home

Now there's a majesty at my doorstep
And there's a little boy in her arms
Now we'll parade around without game plans
Obligation or alarm

In the dark, for a while now
I can't stay, very far
I can't stay much longer
Riding my decision home
In the dark, for a while now
I can't stay, so far
I can't stay much longer
Riding my decision home
In the dark"
